time,V(101),V(102),V(103),V(104),V(107),V(106),V(108),V(110),V(114),V(111),V(115),V(129),V(109),V(139),V(149),V(154),V(164),V(112),V(212),V(113),V(213)
2.35e-09,3,2.76896,2.77064,1.3889,0.728772,1.00356,0.729795,0.601258,0.00397147,0.59977,0.00397151,0.0039087,0.00329878,0.00390017,0.00348595,1.39679,1,0.6,0,0.598513,0.00535827
2.4e-09,3,2.75667,2.75843,1.50165,0.844831,1.00406,0.845767,0.60115,0.00417502,0.600006,0.00420038,0.0041508,0.00353943,0.00414419,0.00348898,1.5066,1,0.6,0,0.598864,0.00368125
2.45e-09,3,2.7645,2.76598,1.57406,0.931093,1.00373,0.931794,0.600855,0.00437044,0.60023,0.00441598,0.0043771,0.00376613,0.00437345,0.00350467,1.57618,1,0.6,0,0.599387,0.00187382
2.5e-09,3,2.78605,2.78701,1.60053,0.978294,1.00276,0.978633,0.600466,0.00453247,0.600451,0.00459077,0.00456293,0.00395378,0.00456278,0.00353009,1.6,1,0.6,0,0.6,2.18585e-08
2.55e-09,3,2.81566,2.81594,1.57915,0.982672,1.0014,0.982545,0.600038,0.00464096,0.600635,0.00470313,0.00468979,0.00408358,0.00469317,0.00356142,1.57618,1,0.6,0,0.600613,-0.00187377
2.6e-09,3,2.84874,2.84835,1.5117,0.944701,0.999854,0.944029,0.599614,0.00468443,0.600734,0.00474102,0.00474619,0.00414369,0.00475259,0.00359438,1.5066,1,0.6,0,0.601136,-0.00368123
2.65e-09,3,2.88159,2.88063,1.40361,0.868448,0.998314,0.867186,0.59923,0.00465908,0.600704,0.00470096,0.00472804,0.00412967,0.00473644,0.00362468,1.39679,1,0.6,0,0.601487,-0.00535826
2.7e-09,3,2.9112,2.90987,1.26348,0.760896,0.996924,0.759048,0.598915,0.00456789,0.600504,0.00458726,0.00463842,0.00404429,0.00464745,0.00364843,1.25547,1,0.6,0,0.601598,-0.00684547
2.75e-09,3,2.93538,2.93396,1.10245,0.630975,0.995799,0.628631,0.598689,0.00441954,0.600107,0.00441062,0.0044867,0.00389659,0.00449471,0.00366247,1.09386,1,0.6,0,0.60142,-0.00809017
2.8e-09,3,2.93693,2.93685,0.933614,0.512361,0.99534,0.510448,0.598795,0.0042739,0.599741,0.00423462,0.00430411,0.00371581,0.00430943,0.00366549,0.924801,1,0.6,0,0.600932,-0.00904827
2.85e-09,3,2.90443,2.90515,0.770848,0.447895,0.996048,0.44681,0.599329,0.00416531,0.599489,0.00409333,0.00413329,0.00354307,0.00413424,0.00365856,0.761712,1,0.6,0,0.600137,-0.00968583
2.9e-09,3,2.8708,2.87116,0.626614,0.420203,0.997402,0.420132,0.599699,0.00401403,0.598798,0.00391055,0.0039785,0.00338615,0.00397354,0.00364314,0.617546,1,0.6,0,0.599068,-0.00998027
2.95e-09,3,2.85033,2.84959,0.511705,0.410307,0.998637,0.411333,0.599881,0.00386357,0.597701,0.003733,0.00383854,0.00324469,0.00382647,0.00362059,0.503752,1,0.6,0,0.597784,-0.00992115
3e-09,3,2.84298,2.84072,0.435093,0.408306,0.9995,0.410526,0.599962,0.00373289,0.596369,0.00358248,0.0037151,0.00312019,0.00369521,0.00359227,0.429367,1,0.6,0,0.596367,-0.00951057
