time,V(103),V(101),V(102),V(107),V(104),V(115),V(116),V(117),V(118),I(VDD),I(Vin),I(L1),I(L2)
5.600000000e-08,3.000000000e+00,7.637511241e-01,7.640004709e-01,2.380603021e+00,2.645123123e+00,2.652395206e+00,2.652395280e+00,2.659204061e+00,2.659204110e+00,-9.382472518e-05,2.417093638e-05,-2.935357362e-04,-1.971957900e-04
5.700000000e-08,3.000000000e+00,6.484415400e-01,6.486276090e-01,2.631244903e+00,2.368980232e+00,2.378933992e+00,2.378934045e+00,2.388250259e+00,2.388250294e+00,-6.871496541e-05,1.795846252e-05,-4.005293200e-04,-2.685657784e-04
5.800000000e-08,3.000000000e+00,5.364927713e-01,5.366326988e-01,2.770489180e+00,2.053609801e+00,2.065133527e+00,2.065133558e+00,2.075919819e+00,2.075919840e+00,-5.016903813e-05,1.345625895e-05,-4.630141599e-04,-3.102548236e-04
5.900000000e-08,3.000000000e+00,4.283465255e-01,4.284584635e-01,2.844696942e+00,1.726651981e+00,1.738706119e+00,1.738706130e+00,1.749991146e+00,1.749991153e+00,-3.877090844e-05,1.076545983e-05,-4.839042140e-04,-3.241790297e-04
6.000000000e-08,3.000000000e+00,3.244296063e-01,3.245259478e-01,2.885798499e+00,1.418486449e+00,1.429935803e+00,1.429935791e+00,1.440661495e+00,1.440661487e+00,-3.184668615e-05,9.309720393e-06,-4.594040984e-04,-3.078893522e-04
6.100000000e-08,3.000000000e+00,2.251522132e-01,2.252393648e-01,2.910734802e+00,1.144542352e+00,1.154773426e+00,1.154773401e+00,1.164362386e+00,1.164362370e+00,-2.731427848e-05,8.490006493e-06,-4.103977140e-04,-2.751353553e-04
6.200000000e-08,3.000000000e+00,1.309059711e-01,1.309868339e-01,2.927661109e+00,9.105688505e-01,9.193394475e-01,9.193394181e-01,9.275625035e-01,9.275624839e-01,-2.398852988e-05,7.955379305e-06,-3.517432163e-04,-2.358728596e-04
6.300000000e-08,3.000000000e+00,4.206291758e-02,4.213861478e-02,2.940260740e+00,7.164574353e-01,7.237537100e-01,7.237536805e-01,7.305963695e-01,7.305963497e-01,-2.130357915e-05,7.527657190e-06,-2.925747447e-04,-1.962359975e-04
6.400000000e-08,3.000000000e+00,-4.102632429e-02,-4.095547971e-02,2.950159746e+00,5.588758526e-01,5.648113217e-01,5.648112944e-01,5.703789895e-01,5.703789712e-01,-1.902091959e-05,7.125484372e-06,-2.379835743e-04,-1.596473818e-04
6.500000000e-08,3.000000000e+00,-1.180337170e-01,-1.179677433e-01,2.958119693e+00,4.330345100e-01,4.377819714e-01,4.377819476e-01,4.422360149e-01,4.422359989e-01,-1.704534585e-05,6.715405293e-06,-1.903362376e-04,-1.277013017e-04
6.600000000e-08,3.000000000e+00,-1.886556018e-01,-1.885946358e-01,2.964565567e+00,3.337880406e-01,3.375367381e-01,3.375367181e-01,3.410542227e-01,3.410542093e-01,-1.533233426e-05,6.285259442e-06,-1.502854355e-04,-1.008411876e-04
6.700000000e-08,3.000000000e+00,-2.526131344e-01,-2.525573473e-01,2.969793428e+00,2.562575717e-01,2.591887483e-01,2.591887319e-01,2.619394264e-01,2.619394155e-01,-1.384982292e-05,5.831322695e-06,-1.175062533e-04,-7.885321147e-05
6.800000000e-08,3.000000000e+00,-3.096537390e-01,-3.096033068e-01,2.974041089e+00,1.961294858e-01,1.984043646e-01,1.984043515e-01,2.005393346e-01,2.005393258e-01,-1.256655174e-05,5.352874438e-06,-9.119355580e-05,-6.120005792e-05
6.900000000e-08,3.000000000e+00,-3.595526516e-01,-3.595077459e-01,2.977508158e+00,1.497547392e-01,1.515102338e-01,1.515102234e-01,1.531578674e-01,1.531578604e-01,-1.145087906e-05,4.850128650e-06,-7.037129244e-05,-4.722870148e-05
7.000000000e-08,3.000000000e+00,-4.021125361e-01,-4.020733213e-01,2.980361030e+00,1.141382727e-01,1.154870899e-01,1.154870817e-01,1.167530953e-01,1.167530899e-01,-1.047253494e-05,4.323594942e-06,-5.406817429e-05,-3.628857014e-05
7.100000000e-08,3.000000000e+00,-4.371659133e-01,-4.371325445e-01,2.982735444e+00,8.687213385e-02,8.790504898e-02,8.790504265e-02,8.887458414e-02,8.887457989e-02,-9.604381451e-06,3.774053957e-06,-4.140451012e-05,-2.779006008e-05
7.200000000e-08,3.000000000e+00,-4.645741817e-01,-4.645468028e-01,2.984739781e+00,6.604996003e-02,6.683895314e-02,6.683894826e-02,6.757955505e-02,6.757955177e-02,-8.823305130e-06,3.202468954e-06,-3.162656335e-05,-2.122777378e-05
7.300000000e-08,3.000000000e+00,-4.842289858e-01,-4.842077268e-01,2.986459029e+00,5.017897826e-02,5.078048099e-02,5.078047723e-02,5.134510462e-02,5.134510210e-02,-8.110478470e-06,2.610128742e-06,-2.411088956e-05,-1.618355623e-05
7.400000000e-08,3.000000000e+00,-4.960532061e-01,-4.960381809e-01,2.987959103e+00,3.809928185e-02,3.855716217e-02,3.855715929e-02,3.898697671e-02,3.898697477e-02,-7.451032576e-06,1.998565500e-06,-1.835376982e-05,-1.231948468e-05
7.500000000e-08,3.000000000e+00,-4.999998478e-01,-4.999911525e-01,2.989290734e+00,2.891566604e-02,2.926381655e-02,2.926381435e-02,2.959063174e-02,2.959063026e-02,-6.833563744e-06,1.369532794e-06,-1.395528417e-05,-9.367230454e-06
7.600000000e-08,3.000000000e+00,-4.960537336e-01,-4.960514437e-01,2.990492850e+00,2.193993279e-02,2.220441551e-02,2.220441383e-02,2.245269305e-02,2.245269192e-02,-6.249579644e-06,7.250390067e-07,-1.060151346e-05,-7.116144496e-06
7.700000000e-08,3.000000000e+00,-4.842298586e-01,-4.842340292e-01,2.991595487e+00,1.664448340e-02,1.684526291e-02,1.684526163e-02,1.703374217e-02,1.703374132e-02,-5.692853197e-06,6.716590182e-08,-8.048025373e-06,-5.402192147e-06
7.800000000e-08,3.000000000e+00,-4.645752594e-01,-4.645859219e-01,2.992621641e+00,1.262689303e-02,1.277922890e-02,1.277922793e-02,1.292223349e-02,1.292223283e-02,-5.159135146e-06,-6.016759714e-07,-6.106213953e-06,-4.098795229e-06
7.900000000e-08,3.000000000e+00,-4.371669036e-01,-4.371840665e-01,2.993589338e+00,9.580044130e-03,9.695573270e-03,9.695572533e-03,9.804026541e-03,9.804026046e-03,-4.645519658e-06,-1.279122075e-06,-4.630861190e-06,-3.108489969e-06
8.000000000e-08,3.000000000e+00,-4.021137761e-01,-4.021374231e-01,2.994512684e+00,7.270234158e-03,7.357818359e-03,7.357817799e-03,7.440038876e-03,7.440038500e-03,-4.150280207e-06,-1.962592095e-06,-3.510725857e-06,-2.356613645e-06
8.100000000e-08,3.000000000e+00,-3.595534683e-01,-3.595835597e-01,2.995403093e+00,5.519660813e-03,5.586039487e-03,5.586039062e-03,5.648353623e-03,5.648353337e-03,-3.672446346e-06,-2.649587960e-06,-2.660732998e-06,-1.786064386e-06
8.200000000e-08,3.000000000e+00,-3.096546870e-01,-3.096911577e-01,2.996269802e+00,4.193274132e-03,4.243568339e-03,4.243568016e-03,4.290783350e-03,4.290783134e-03,-3.211761713e-06,-3.337417238e-06,-2.016011826e-06,-1.353300321e-06
8.300000000e-08,3.000000000e+00,-2.526140255e-01,-2.526567865e-01,2.997120658e+00,3.188522874e-03,3.226620777e-03,3.226620532e-03,3.262386604e-03,3.262386440e-03,-2.768370072e-06,-4.023490792e-06,-1.527142709e-06,-1.025150144e-06
8.400000000e-08,3.000000000e+00,-1.886565971e-01,-1.887055349e-01,2.997962419e+00,2.427592982e-03,2.456445009e-03,2.456444823e-03,2.483531329e-03,2.483531205e-03,-2.342803660e-06,-4.705120429e-06,-1.156537510e-06,-7.763837001e-07
8.500000000e-08,3.000000000e+00,-1.180348126e-01,-1.180897894e-01,2.998801163e+00,1.851469192e-03,1.873313091e-03,1.873312951e-03,1.893820576e-03,1.893820482e-03,-1.935832778e-06,-5.379644541e-06,-8.756292830e-07,-5.878259879e-07
8.600000000e-08,3.000000000e+00,-4.102697962e-02,-4.108783410e-02,2.999642590e+00,1.415409138e-03,1.431941403e-03,1.431941297e-03,1.447462634e-03,1.447462562e-03,-1.548398472e-06,-6.044420557e-06,-6.627225347e-07,-4.449142409e-07
8.700000000e-08,3.000000000e+00,4.206221207e-02,4.199594367e-02,3.001190031e+00,1.098126207e-03,1.110185369e-03,1.110185279e-03,1.121515039e-03,1.121514979e-03,-1.307365553e-06,-6.668902033e-06,-4.834766564e-07,-3.248289322e-07
8.800000000e-08,3.000000000e+00,1.309052181e-01,1.308339207e-01,3.003894278e+00,8.782591945e-04,8.866393767e-04,8.866393030e-04,8.945215320e-04,8.945214827e-04,-1.169144662e-06,-7.260649673e-06,-3.360939255e-07,-2.261010660e-07
8.900000000e-08,3.000000000e+00,2.251514158e-01,2.250752837e-01,3.007674664e+00,7.302118991e-04,7.358566248e-04,7.358565700e-04,7.411719731e-04,7.411719363e-04,-1.039553270e-06,-7.838365196e-06,-2.265248859e-07,-1.526098308e-07
9.000000000e-08,3.000000000e+00,3.244288585e-01,3.243481056e-01,3.012448052e+00,6.350447456e-04,6.386724648e-04,6.386724244e-04,6.420951989e-04,6.420951719e-04,-9.190632403e-07,-8.399714631e-06,-1.457474420e-07,-9.843565315e-08
9.100000000e-08,3.000000000e+00,4.283457433e-01,4.282606025e-01,3.018128669e+00,5.783683715e-04,5.805252620e-04,5.805252326e-04,5.825679292e-04,5.825679095e-04,-8.081243639e-07,-8.942431128e-06,-8.685614467e-08,-5.894533014e-08
9.200000000e-08,3.000000000e+00,5.364919579e-01,5.364026796e-01,3.024628213e+00,5.492314384e-04,5.503333122e-04,5.503332911e-04,5.513860722e-04,5.513860581e-04,-7.071535199e-07,-9.464330930e-06,-4.462528518e-08,-3.063084728e-08
9.300000000e-08,3.000000000e+00,6.484406986e-01,6.483475498e-01,3.031856016e+00,5.392909591e-04,5.396547436e-04,5.396547289e-04,5.400149248e-04,5.400149149e-04,-6.165318257e-07,-9.963319592e-06,-1.509103659e-08,-1.083132828e-08
9.400000000e-08,3.000000000e+00,7.637501548e-01,7.636534183e-01,3.039719270e+00,5.421881360e-04,5.420555541e-04,5.420555441e-04,5.419498864e-04,5.419498798e-04,-5.366022570e-07,-1.043739849e-05,4.761220554e-09,2.476841752e-09
9.500000000e-08,3.000000000e+00,8.819652528e-01,8.818648280e-01,3.047128243e+00,5.351233113e-04,5.353151877e-04,5.353151942e-04,5.355033374e-04,5.355033416e-04,-4.875765320e-07,-1.092444108e-05,-8.210371169e-09,-5.911022442e-09
9.600000000e-08,3.000000000e+00,1.002619452e+00,1.002512047e+00,3.044975120e+00,3.571675670e-04,3.634362499e-04,3.634363714e-04,3.692300878e-04,3.692301678e-04,-6.301019731e-07,-1.174309271e-05,-2.511107516e-07,-1.659039850e-07
9.700000000e-08,3.000000000e+00,1.125236584e+00,1.125118078e+00,3.022051111e+00,-1.946567775e-04,-1.747726812e-04,-1.747724092e-04,-1.563655813e-04,-1.563654014e-04,-1.006344349e-06,-1.297585997e-05,-7.951890810e-07,-5.257530014e-07
9.800000000e-08,3.000000000e+00,1.249332737e+00,1.249204061e+00,2.979766899e+00,-1.198454799e-03,-1.161721310e-03,-1.161720974e-03,-1.127647070e-03,-1.127646847e-03,-3.943712535e-06,-1.411685278e-05,-1.468177841e-06,-9.724124643e-07
9.900000000e-08,3.000000000e+00,1.374418158e+00,1.374281480e+00,2.922583715e+00,-2.539495683e-03,-2.489751476e-03,-2.489751216e-03,-2.443524248e-03,-2.443524075e-03,-1.000556070e-05,-1.504229499e-05,-1.987278547e-06,-1.318326984e-06
1.000000000e-07,3.000000000e+00,1.499999557e+00,1.499850462e+00,2.838482367e+00,-4.515444393e-03,-4.442323474e-03,-4.442323007e-03,-4.374434771e-03,-4.374434462e-03,-1.618384779e-05,-1.640946592e-05,-2.920394461e-06,-1.935289465e-06
